KV-ORT-ID,KV-ORT-Name,KV-ORT-GeltungszeitraumAnfang-laut-PQU,KV-ORT-GeltungszeitraumAnfang-EDV,KV-ORT-GeltungszeitraumEnde-laut-PQU,KV-ORT-GeltungszeitraumEnde-EDV,KV-ORT-GND-ID,KV-ORT-VIAF-ID,KV-ORT-ExterneID,KV-ORT-GeodatenLaengengrad,KV-ORT-GeodatenBreite,KV-ORT-NameRegion,KV-ORT-NameLand,KV-ORT-Quelle-KV-PQU,KV-ORT-Bemerkung,KV-ORT-zuletzt_bearbeitet-AUTO
0,keine Angabe,,,,,,,,,,,,,,2019-06-03T15:32:39
3,Kiel,0,,0,,,,,,,Schleswig-Holstein,Deutschland,,,2017-06-20T14:55:49
4,Hamburg,0,,0,,,,,,,,Deutschland,,,2017-06-20T14:55:49
5,Berlin Ost,0,,0,,,,,,,Brandenburg,Deutschland,,,2017-08-30T14:51:33
6,Berlin West,0,,0,,,,,,,Brandenburg,Deutschland,,,2017-06-20T14:55:49
7,Göttingen,0,,0,,,,,,,,Deutschland,,,2017-06-20T14:55:49
8,Halle an der Saale,0,,0,,,,,,,,,,,2017-06-20T14:55:49
9,Leipzig,0,,0,,,,,,,,,,,2017-06-20T14:55:49
10,Bonn,0,,0,,,,,,,,,,,2017-06-20T14:55:49
11,Köln,0,,0,,,,,,,,,,,2017-06-20T14:55:49
12,Frankfurt am Main,0,,0,,,,,,,,,,,2017-06-20T14:55:49
13,Mainz,0,,0,,,,,,,,,,,2017-06-20T14:55:49
14,Mannheim,0,,0,,,,,,,,,,,2017-06-20T14:55:49
15,Würzburg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
16,Straßburg,0,,0,,4057878-1,,,,,Elsass,Deutschland,,,2017-06-20T14:55:49
18,Dresden,0,,0,,,,,,,,,,,2017-06-20T14:55:49
19,Heidelberg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
20,Darmstadt,0,,0,,,,,,,,,,,2017-06-20T14:55:49
21,München,0,,0,,,,,,,,,,,2017-06-20T14:55:49
22,Freiburg im Breisgau,0,,0,,,,,,,,Deutschland,,,2017-10-30T12:20:32
23,Basel,0,,0,,,,,,,,Schweiz,,,2017-06-20T14:55:49
24,Bern,0,,0,,,,,,,,Schweiz,,,2017-06-20T14:55:49
25,Zürich,0,,0,,,,,,,,Schweiz,,,2017-06-20T14:55:49
26,Innsbruck,0,,0,,,,,,,,Österreich,,,2017-06-20T14:55:49
27,Wien,0,,0,,,,,,,,Österreich,,,2017-06-20T14:55:49
28,Prag,0,,0,,4076310-9,,,,,Böhmen,Österreich-Ungarn,,,2017-06-20T14:55:49
31,Berlin,0,,0,,,,,,,Brandenburg,Deutschland,,,2017-06-20T14:55:49
32,Bückeburg,0,,0,,,,,,,Schaumburg-Lippe,Deutschland,,,2017-06-20T14:55:49
33,Leipzig/ Winterthur,0,,0,,,,,,,Sachsen/ Winterthur,Deutschland/ Schweiz,,,2017-06-20T14:55:49
34,Münster,0,,0,,,,,,,Westfalen,Deutschland,,,2017-06-20T14:55:49
35,Marburg,0,,0,,,,,,,Mittelhessen,Deutschland,,,2017-06-20T14:55:49
36,Augsburg,0,,0,,,,,,,Schwaben,Deutschland,,,2017-06-20T14:55:49
37,Kassel,0,,0,,,,,,,Nordhessen,Deutschland,,,2017-06-20T14:55:49
38,Tübingen,0,,0,,,,,,,Schwaben,Deutschland,,,2017-06-20T14:55:49
39,Weimar,0,,0,,,,,,,Thüringen,Deutschland,,,2017-06-20T14:55:49
40,Erlangen,0,,0,,,,,,,,Deutschland,,,2017-06-20T14:55:49
41,Gießen,0,,0,,,,,,,,Deutschland,,,2017-06-20T14:55:49
42,Rom,0,,0,,,,,,,,Italien,,,2017-06-20T14:55:49
43,Graz,0,,0,,,,,,,,Österreich,,,2017-06-20T14:55:49
44,Karlsruhe,0,,0,,,,,,,,Deutschland,,,2017-06-20T14:55:49
45,Brüssel,0,,0,,,,,,,,Belgien,,,2017-06-20T14:55:49
46,Newport,0,,0,,,,,,,Isle of Wight,Großbritannien,,,2017-06-20T14:55:49
47,Midhurst,0,,0,,,,,,,,Großbritannien,,,2017-06-20T14:55:49
48,Budapest,0,,0,,,,,,,,,,,2017-06-20T14:55:49
49,Nijkerk,0,,0,,,,,,,Gelderland,,,,2017-06-20T14:55:49
50,Amsterdam,0,,0,,,,,,,,,,,2017-06-20T14:55:49
51,Emleben,0,,0,,,,,,,Landkreis Gotha,,,,2017-06-20T14:55:49
52,Schlüchtern,0,,0,,,,,,,,,,,2017-06-20T14:55:49
53,Luserna San Giovanni,0,,0,,,,,,,,,,,2017-06-20T14:55:49
54,Shanghai,0,,0,,,,,,,,,,,2017-06-20T14:55:49
55,Rock Rapids,0,,0,,,,,,,,,,,2017-06-20T14:55:49
56,Skaneateles,0,,0,,,,,,,New York,,,,2017-06-20T14:55:49
57,Itzehoe,0,,0,,,,,,,Holstein,,,,2017-06-20T14:55:49
58,Lakeville,0,,0,,,,,,,,,,,2017-06-20T14:55:49
59,Kopenhagen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
60,Östersund,0,,0,,,,,,,,,,,2017-06-20T14:55:49
61,Uppsala,0,,0,,,,,,,,,,,2017-06-20T14:55:49
62,Manchester,0,,0,,,,,,,,,,,2017-06-20T14:55:49
63,Šupljaja,0,,0,,,,,,,,,,,2017-06-20T14:55:49
64,Cuxhaven,0,,0,,,,,,,,,,,2017-06-20T14:55:49
65,Köslin,0,,0,,,,,,,Pomerania,Polen,,,2017-06-20T14:55:49
66,London,0,,0,,,,,,,,,,,2017-06-20T14:55:49
67,"Headly, Hants.",0,,0,,,,,,,,,,,2017-06-20T14:55:49
68,Kronstadt,0,,0,,,,,,,,,,,2017-06-20T14:55:49
69,Ottobeuren,0,,0,,,,,,,,,,,2017-06-20T14:55:49
70,Perpignan,0,,0,,,,,,,,,,,2017-06-20T14:55:49
71,Fort Collins,0,,0,,,,,,,,,,,2017-06-20T14:55:49
72,Garmisch-Partenkirchen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
73,Solingen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
74,Hagen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
75,Flensburg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
76,Neumünster,0,,0,,,,,,,Holstein,,,,2017-06-20T14:55:49
77,Wiesbaden,0,,0,,,,,,,,,,,2017-06-20T14:55:49
78,Baden-Baden,0,,0,,,,,,,,,,,2017-06-20T14:55:49
79,Königsberg,0,,0,,,,,,,,Preußen,,,2017-06-20T14:55:49
80,Hagenau,0,,0,,,,,,,Elsass,Frankreich,,,2017-06-20T14:55:49
81,Split,0,,0,,,,,,,,Kroatien,,,2017-09-13T13:56:39
82,Jena,0,,0,,,,,,,,,,,2017-06-20T14:55:49
83,Bologna,0,,0,,,,,,,,,,,2017-06-20T14:55:49
84,Brünn,0,,0,,,,,,,,,,,2017-06-20T14:55:49
85,Aachen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
86,Allenstein,0,,0,,,,,,,Ostpreußen,,,,2017-06-20T14:55:49
87,Altona,0,,0,,,,,,,,,,,2017-06-20T14:55:49
88,Athen,0,,0,,,,,,,,Griechenland,,,2017-06-20T14:55:49
90,Bad Hersfeld,0,,0,,,,,,,,,,,2017-06-20T14:55:49
91,Bamberg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
93,Beeskow,0,,0,,,,,,,,,,,2017-06-20T14:55:49
94,Belgrad,0,,0,,,,,,,,,,,2017-06-20T14:55:49
95,Bielefeld,0,,0,,,,,,,,,,,2017-06-20T14:55:49
96,Bielitz,0,,0,,,,,,,,,,,2017-06-20T14:55:49
97,Bochum,0,,0,,,,,,,,,,,2017-06-20T14:55:49
98,Braunschweig,0,,0,,,,,,,,,,,2017-06-20T14:55:49
99,Breslau,0,,0,,,,,,,,,,,2017-06-20T14:55:49
100,Celle,0,,0,,,,,,,,,,,2017-06-20T14:55:49
101,Chernigov,0,,0,,,,,,,,,,,2017-06-20T14:55:49
102,Chur,0,,0,,,,,,,Graubünden,Schweiz,,,2017-06-20T14:55:49
103,Coburg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
104,Colmar,0,,0,,,,,,,,,,,2017-06-20T14:55:49
105,Dortmund-Hörde,0,,0,,,,,,,,,,,2017-06-20T14:55:49
106,Eibenschütz,0,,0,,,,,,,Mähren,,,,2017-06-20T14:55:49
107,Eisleben,0,,0,,,,,,,,,,,2017-06-20T14:55:49
108,Essen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
110,Freising,0,,0,,,,,,,,,,,2017-06-20T14:55:49
111,Freistatt,0,,0,,,,,,,,,,,2017-06-20T14:55:49
112,Gelsenkirchen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
113,Gerlachsheim,0,,0,,,,,,,,,,,2017-06-20T14:55:49
114,Gniebel,0,,0,,,,,,,,,,,2017-06-20T14:55:49
115,Groß-Mehlra bei Sondershausen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
116,Günzlhofen,0,,0,,,,,,,,,,,2017-06-20T14:55:49
117,Hannover,0,,0,,,,,,,,,,,2017-06-20T14:55:49
118,Heilbronn,0,,0,,,,,,,,,,,2017-06-20T14:55:49
119,Hildesheim,0,,0,,,,,,,,,,,2017-06-20T14:55:49
120,Iserlohn,0,,0,,,,,,,,,,,2017-06-20T14:55:49
121,Kairo,0,,0,,,,,,,,Ägypten,,,2017-06-20T14:55:49
122,Kattowitz,0,,0,,,,,,,,,,,2017-06-20T14:55:49
123,Kittsee bei Pressburg,0,,0,,,,,,,,,,,2017-06-20T14:55:49
