Darkehmen,116315-2
Ortelsburg,116424-7
Midhurst,121658-2
Asch,122909-6
Konitz,127061-8
Wesermünde,19634-4
Gniebel,34412-6
Czernowitz,63628-9
Sorau,64338-5
"Belmont, Mass.",1027733-X
Cahors,1027875-8
Bytom,1028039-X
Eresing,1028085-6
Tartu,1029285-8
Boom,1081706-2
Berdjansk,136010-3
Ragnit,263144-1
Otago,276707-7
Duffel,1097359-X
Esseg,1215714-4
Mittersill,1221944-7
Treysa,2000440-0
Bensberg,2005873-1
Gerlachsheim,2011550-7
Lämmerspiel,2016919-X
Vaake,2027844-5
Letmathe,2031135-7
Bausendorf,2033017-0
Petrograd,2034200-7
Grottkau,2047958-X
Lobberich,2077468-0
Birr,515720-1
Emleben,2091608-5
Aachen,4000003-5
Aarau,4000018-7
Bad Aibling,4000830-7
Aix-en-Provence,4000860-5
Allenstein,4001252-9
Amsterdam,4001783-7
Ansbach,4002170-1
Antibes,4002253-5
Arnstadt,4003011-8
Aschaffenburg,4003191-3
Ascona,4003204-8
Athen,4003366-1
Augsburg,4003614-5
Avignon,4004019-7
Baden-Baden,4004169-4
Badenweiler,4004174-8
Balingen,4004329-0
Bamberg,4004391-5
Barcelona,4004503-1
Basel,4004617-5
Bayreuth,4005056-7
Bedburg,4005177-8
Belgrad,4005411-1
Bensheim,4005530-9
Bergamo,4005611-9
Bergisch Gladbach,4005657-0
Bergneustadt,4005685-5
Berlin,4005728-8
Berlstedt,4005757-4
Bern,4005762-8
Bielefeld,4006510-8
Birmingham,4006934-5
Bochum,4007328-2
Bologna,4007616-7
Bonn,4007666-0
Bozen,4007901-6
Braunschweig,4008065-1
Bregenz,4008099-7
Bremen,4008135-7
Breslau,4008216-7
Brieg,4008252-0
Bydgoszcz,4008333-0
Brünn,4008456-5
Brüssel,4008460-7
Bad Buchau,4008586-7
Budapest,4008684-7
Bückeburg,4008715-3
Bukarest,4008858-3
Caen,4009282-3
Cahors,4009297-5
Cambridge,4009351-7
Celle,4009657-9
Chur,4010189-7
Coburg,4010325-0
Coesfeld,4010355-9
Colmar,4010401-1
Cremona,4010700-0
Cuxhaven,4010793-0
Dachau,4010844-2
Danzig,4011039-4
Darmstadt,4011077-1
Delhi,4011371-1
Delitzsch,4011376-0
Den Haag,4011446-6
Dessau,4011536-7
Detmold,4011555-0
Dettingen an der Erms,4011561-6
Dijon,4012315-7
Bad Doberan,4012564-6
Donauwörth,4012721-7
Dortmund,4012814-3
Dresden,4012995-0
Druskininkai,4013143-9
Dublin,4013170-1
Düren,4013237-7
Düsseldorf,4013255-9
Duisburg,4013284-5
Eckernförde,4013498-2
Edinburgh,4013557-3
Eichstätt,4013725-9
Eisenach,4014013-1
Elbing,4014177-9
Eltville am Rhein,4014534-7
Bad Ems,4014614-5
Eresing,4015216-9
Erfurt,4015240-6
Erlangen,4015299-6
Essen,4015557-2
Flensburg,4017506-6
Florenz,4017581-9
Florida,4017585-6
Frankfurt am Main,4018118-2
Frauenfeld,4018220-4
Freiburg im Breisgau,4018272-1
Freising,4018361-0
Fürstenfeldbruck,4018815-2
Fulda,4018859-0
Garmisch-Partenkirchen,4019275-1
Gebweiler,4019610-0
Gelsenkirchen,4019947-2
Genf,4020137-5
Genua,4020185-5
Gera,4020295-1
Gießen,4020989-1
Glasgow,4021159-9
Gleiwitz,4021270-1
Görlitz,4021441-2
Göteborg,4021453-9
Göttingen,4021477-1
Goslar,4021643-3
Gotha,4021652-4
Granada,4021815-6
Graz,4021912-4
Greifswald,4021965-3
Grimma,4022085-0
Grünberg (Landkreis Gießen),4022283-4
Haar (Landkreis München),4022683-9
Haarlem,4022687-6
Hadamar,4022758-3
Hämeenlinna,4022801-0
Hagen,4022917-8
Halberstadt,4022987-7
Hamburg,4023118-5
Hameln,4023145-8
Hanau,4023201-3
Hannover,4023349-2
Heidelberg,4023996-2
Heidenheim an der Brenz,4024007-1
Heilbronn,4024025-3
Helsinki,4024351-5
Herford,4024481-7
Bad Hersfeld,4024607-3
Hildesheim,4024881-1
Höxter,4025451-3
Ingolstadt,4026991-7
Innsbruck,4027096-8
Bad Ischl,4027718-5
Iserlohn,4027734-3
Istanbul,4027821-9
Italien,4027833-5
Itzehoe,4027865-7
Jena,4028557-1
Jerusalem,4028586-8
Johannesburg,4028698-8
Kairo,4029236-8
Kalabrien,4029278-2
Kalkutta,4029344-0
Kamenz,4029407-9
